"","x"
"z[688]",0.99898
"z[689]",0.99857
"z[690]",0.99909
"z[691]",0.9993
"z[692]",0.9991
"z[693]",0.99938
"z[694]",0.99933
"z[695]",0.99903
"z[696]",0.99797
"z[697]",0.99585
"z[698]",0.99676
"z[699]",0.99755
"z[700]",0.99739
"z[701]",0.99717
"z[702]",0.99629
"z[703]",0.99724
"z[704]",0.99869
"z[705]",0.99928
"z[706]",0.99941
"z[707]",0.9996
"z[708]",0.99962
"z[709]",0.99971
"z[710]",0.99979
"z[711]",0.99978
"z[712]",0.99967
"z[713]",0.99952
"z[714]",0.99973
"z[715]",0.9997
"z[716]",0.99959
"z[717]",0.99937
"z[718]",0.99896
"z[719]",0.99902
"z[720]",0.99908
"z[721]",0.99931
"z[722]",0.99952
"z[723]",0.99963
"z[724]",0.99967
"z[725]",0.99948
"z[726]",0.99954
"z[727]",0.99953
"z[728]",0.99952
"z[729]",0.99954
"z[730]",0.99964
"z[731]",0.99968
"z[732]",0.99958
"z[733]",0.99973
"z[734]",0.99976
"z[735]",0.99975
"z[736]",0.99971
"z[737]",0.99969
"z[738]",0.9998
"z[739]",0.99978
"z[740]",0.99969
"z[741]",0.99947
"z[742]",0.99941
"z[743]",0.99953
"z[744]",0.99955
"z[745]",0.99964
"z[746]",0.99977
"z[747]",0.9998
"z[748]",0.99972
"z[749]",0.9996
"z[750]",0.99937
"z[751]",0.99894
"z[752]",0.99934
"z[753]",0.99946
"z[754]",0.99946
"z[755]",0.99955
"z[756]",0.99957
"z[757]",0.99963
"z[758]",0.99956
"z[759]",0.99948
"z[760]",0.99948
"z[761]",0.99949
"z[762]",0.99946
"z[763]",0.99937
"z[764]",0.99954
"z[765]",0.99967
"z[766]",0.99968
"z[767]",0.99969
"z[768]",0.99958
"z[769]",0.99957
"z[770]",0.99967
"z[771]",0.9996
"z[772]",0.99965
"z[773]",0.99973
"z[774]",0.99956
"z[775]",0.99946
"z[776]",0.99952
"z[777]",0.99955
"z[778]",0.99971
"z[779]",0.99962
"z[780]",0.99942
"z[781]",0.99922
"z[782]",0.99886
"z[783]",0.99896
"z[784]",0.99848
"z[785]",0.99724
"z[786]",0.99444
"z[787]",0.98963
"z[788]",0.97775
"z[789]",0.94796
"z[790]",0.90399
"z[791]",0.95573
"z[792]",0.97775
"z[793]",0.98856
"z[794]",0.99379
"z[795]",0.99563
"z[796]",0.99603
"z[797]",0.99792
"z[798]",0.99842
"z[799]",0.99824
"z[800]",0.99741
"z[801]",0.99786
"z[802]",0.99759
"z[803]",0.99657
"z[804]",0.99388
"z[805]",0.99694
"z[806]",0.99825
"z[807]",0.9987
"z[808]",0.9988
"z[809]",0.99917
"z[810]",0.99921
"z[811]",0.99916
"z[812]",0.99931
"z[813]",0.9995
"z[814]",0.99955
"z[815]",0.99957
"z[816]",0.9995
"z[817]",0.99955
"z[818]",0.99928
"z[819]",0.99906
"z[820]",0.99871
"z[821]",0.99709
"z[822]",0.99345
"z[823]",0.9858
"z[824]",0.99357
"z[825]",0.99635
"z[826]",0.99748
"z[827]",0.99772
"z[828]",0.99741
"z[829]",0.9988
"z[830]",0.99938
"z[831]",0.99961
"z[832]",0.9998
"z[833]",0.99972
"z[834]",0.99948
"z[835]",0.99932
"z[836]",0.9989
"z[837]",0.99892
"z[838]",0.99881
"z[839]",0.99887
"z[840]",0.99929
"z[841]",0.99943
"z[842]",0.99957
"z[843]",0.99967
"z[844]",0.99977
"z[845]",0.99982
"z[846]",0.9998
"z[847]",0.99972
"z[848]",0.99966
"z[849]",0.99946
"z[850]",0.9991
"z[851]",0.99827
"z[852]",0.99877
"z[853]",0.99877
"z[854]",0.9981
